% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	10694.2	0
0.081	1	1	1	5985.51	0
0.121	1	1	1	2605.65	0
0.161	1	1	1	1006.52	0
0.201	1	1	1	2845.31	0
0.241	1	1	1	13002.2	0
0.281	1	1	1	29454.7	0
0.321	1	1	1	21402.1	0
0.361	1	1	1	9164.79	0
0.401	1	1	1	3264.55	0
0.441	1	1	1	974.165	0
0.481	1	1	1	777.346	0
0.521	1	1	1	15267.7	0
0.561	1	1	1	59086.3	0
0.601	1	1	1	119839	0
0.641	1	1	1	121888	0
0.681	1	1	1	105578	0
0.721	1	1	1	68600	0
0.761	1	1	1	28149.3	0
0.801	1	1	1	8127.05	0
0.841	1	1	1	1494.47	0
0.881	1	1	1	1391.6	0
0.921	1	1	1	8370.25	0
0.961	1	1	1	18303.6	0
1.001	1	1	1	11901.2	0
1.041	1	1	1	20442.9	0
1.081	1	1	1	11086.7	0
1.121	1	1	1	8338.02	0
1.161	1	1	1	6985.99	0
1.201	1	1	1	5417.3	0
1.241	1	1	1	3398.72	0
1.281	1	1	1	1299.01	0
1.321	1	1	1	658.069	0
1.361	1	1	1	1615.16	0
1.401	1	1	1	2263.4	0
1.441	1	1	1	2235.51	0
1.481	1	1	1	1866.11	0
1.521	1	1	1	25928	0
1.561	1	1	1	9994.66	0
1.601	1	1	1	4693.57	0
1.641	1	1	1	15543.6	0
1.681	1	1	1	59891.1	0
1.721	1	1	1	81433.7	0
1.761	1	1	1	25799.2	0
1.801	1	1	1	5752.05	0
1.841	1	1	1	807.82	0
1.881	1	1	1	1232.39	0
1.921	1	1	1	4408	0
1.961	1	1	1	9444.35	0
2.001	1	1	1	703.563	0
2.041	1	1	1	300.868	0
2.081	1	1	1	843.59	0
2.121	1	1	1	3894.47	0
2.161	1	1	1	10748	0
2.201	1	1	1	10438.3	0
2.241	1	1	1	6438.08	0
2.281	1	1	1	3744.39	0
2.321	1	1	1	2011.48	0
2.361	1	1	1	854.804	0
2.401	1	1	1	262.16	0
2.441	1	1	1	593.785	0
2.481	1	1	1	2494.1	0
2.521	1	1	1	2455.55	0
2.561	1	1	1	6188.76	0
2.601	1	1	1	10398.4	0
2.641	1	1	1	8234.81	0
2.681	1	1	1	8380.06	0
2.721	1	1	1	11547.2	0
2.761	1	1	1	20630	0
2.801	1	1	1	15331.2	0
2.841	1	1	1	3200.26	0
2.881	1	1	1	829.38	0
2.921	1	1	1	537.194	0
2.961	1	1	1	884.208	0
3.001	1	1	1	4618.24	0
3.041	1	1	1	5768.55	0
3.081	1	1	1	3282.04	0
3.121	1	1	1	12572.5	0
3.161	1	1	1	71219	0
3.201	1	1	1	228447	0
3.241	1	1	1	169326	0
3.281	1	1	1	70283.9	0
3.321	1	1	1	24285.5	0
3.361	1	1	1	5686.84	0
3.401	1	1	1	575.491	0
3.441	1	1	1	901.522	0
3.481	1	1	1	2583.6	0
3.521	1	1	1	1330.58	0
3.561	1	1	1	350.06	0
3.601	1	1	1	162.674	0
3.641	1	1	1	467.584	0
3.681	1	1	1	1998.69	0
3.721	1	1	1	8538.23	0
3.761	1	1	1	15260.7	0
3.801	1	1	1	6736.01	0
3.841	1	1	1	2801.13	0
3.881	1	1	1	1228.73	0
3.921	1	1	1	592.27	0
3.961	1	1	1	613.915	0
4.001	1	1	1	12554.4	0
4.041	1	1	1	12802.5	0
4.081	1	1	1	1279.9	0
4.121	1	1	1	959.816	0
4.161	1	1	1	2535.29	0
4.201	1	1	1	4460.38	0
4.241	1	1	1	6601.54	0
4.281	1	1	1	9014.99	0
4.321	1	1	1	10898.5	0
4.361	1	1	1	9526.86	0
4.401	1	1	1	5549.02	0
4.441	1	1	1	2859.87	0
4.481	1	1	1	1699.03	0
4.521	1	1	1	11646.7	0
4.561	1	1	1	13674.7	0
4.601	1	1	1	19569.1	0
4.641	1	1	1	38196.3	0
4.681	1	1	1	36652.5	0
4.721	1	1	1	14232	0
4.761	1	1	1	6232.67	0
4.801	1	1	1	4216.77	0
4.841	1	1	1	3933.47	0
4.881	1	1	1	4712.43	0
4.921	1	1	1	6614.58	0
4.961	1	1	1	8468.81	0
5.001	1	1	1	6112.13	0
5.041	1	1	1	3643.25	0
5.081	1	1	1	2589.2	0
5.121	1	1	1	7359.32	0
5.161	1	1	1	19173.1	0
5.201	1	1	1	13915.8	0
5.241	1	1	1	8280.56	0
5.281	1	1	1	5719.72	0
5.321	1	1	1	4030.14	0
5.361	1	1	1	2589.79	0
5.401	1	1	1	1155.43	0
5.441	1	1	1	749.045	0
5.481	1	1	1	4128.74	0
5.521	1	1	1	3806.86	0
5.561	1	1	1	4140.2	0
5.601	1	1	1	4741.55	0
5.641	1	1	1	5332.59	0
5.681	1	1	1	5971.96	0
5.721	1	1	1	7392	0
5.761	1	1	1	12651.1	0
5.801	1	1	1	26861.3	0
5.841	1	1	1	32584.1	0
5.881	1	1	1	28312.8	0
5.921	1	1	1	25129.9	0
5.961	1	1	1	23308.3	0
6.001	1	1	1	778.595	0
6.041	1	1	1	1109.35	0
6.081	1	1	1	2132.91	0
6.121	1	1	1	3589.07	0
6.161	1	1	1	5457.81	0
6.201	1	1	1	7879.56	0
6.241	1	1	1	11534.7	0
6.281	1	1	1	11058	0
6.321	1	1	1	5381.41	0
6.361	1	1	1	3022.98	0
6.401	1	1	1	1789.99	0
6.441	1	1	1	1673.85	0
6.481	1	1	1	1822.91	0
6.521	1	1	1	1060.77	0
6.561	1	1	1	2349.28	0
6.601	1	1	1	11394.6	0
6.641	1	1	1	35511.4	0
6.681	1	1	1	61007.6	0
6.721	1	1	1	57851.3	0
6.761	1	1	1	37762.5	0
6.801	1	1	1	16368	0
6.841	1	1	1	8936.43	0
6.881	1	1	1	13440.2	0
6.921	1	1	1	16295.3	0
6.961	1	1	1	16446.2	0
7.001	1	1	1	2800.22	0
7.041	1	1	1	1976.61	0
7.081	1	1	1	1371.73	0
7.121	1	1	1	1012.88	0
7.161	1	1	1	1157.85	0
7.201	1	1	1	1755.95	0
7.241	1	1	1	2696.17	0
7.281	1	1	1	3936.6	0
7.321	1	1	1	5558.23	0
7.361	1	1	1	7874.35	0
7.401	1	1	1	10464.6	0
7.441	1	1	1	8793.58	0
7.481	1	1	1	7274.46	0
7.521	1	1	1	4179.89	0
7.561	1	1	1	4795.55	0
7.601	1	1	1	5947.34	0
7.641	1	1	1	4490.66	0
7.681	1	1	1	3191.56	0
7.721	1	1	1	2863.11	0
7.761	1	1	1	3154.72	0
7.801	1	1	1	3809.25	0
7.841	1	1	1	4710.02	0
7.881	1	1	1	5838.61	0
7.921	1	1	1	7322.51	0
7.961	1	1	1	9726.59	0
8.001	1	1	1	3468.74	0
8.041	1	1	1	1890.78	0
8.081	1	1	1	1754.96	0
8.121	1	1	1	1256.07	0
8.161	1	1	1	711.78	0
8.201	1	1	1	314.154	0
8.241	1	1	1	382.99	0
8.281	1	1	1	1496.56	0
8.321	1	1	1	3899.47	0
8.361	1	1	1	6763.95	0
8.401	1	1	1	9220.68	0
8.441	1	1	1	11211.2	0
8.481	1	1	1	13078.7	0
8.521	1	1	1	11428.7	0
8.561	1	1	1	18808.8	0
8.601	1	1	1	20650.4	0
8.641	1	1	1	11487.7	0
8.681	1	1	1	7595.47	0
8.721	1	1	1	9038.39	0
8.761	1	1	1	12988.8	0
8.801	1	1	1	14971.1	0
8.841	1	1	1	8560.66	0
8.881	1	1	1	3921.52	0
8.921	1	1	1	1235.17	0
8.961	1	1	1	1262.54	0
9.001	1	1	1	6035.94	0
9.041	1	1	1	8042.58	0
9.081	1	1	1	1486.96	0
9.121	1	1	1	705.416	0
9.161	2	1	1	3325.89	0
9.201	2	1	1	3535.36	0
9.241	2	1	1	3862.17	0
9.281	2	1	1	3913.26	0
9.321	2	1	1	4107.43	0
9.361	2	1	1	5451.43	0
9.401	2	1	1	9250.46	0
9.441	2	1	1	13481.8	0
9.481	1	1	2	744.642	0
9.521	1	1	2	3089.5	0
9.561	1	1	2	2035.36	0
9.601	1	1	2	1936	0
9.641	1	1	2	2325.36	0
9.681	1	1	2	3043.73	0
9.721	1	1	2	3975.38	0
9.761	1	1	2	4844.97	0
9.801	1	1	2	5211.94	0
9.841	1	1	2	4617.83	0
9.881	1	1	2	3303.28	0
9.921	1	1	2	2682.65	0
9.961	1	1	2	3802.61	0
10.001	1	1	2	9452.9	0
10.041	1	1	2	9573.4	0
10.081	1	1	2	11745	0
10.121	1	1	2	14923	0
10.161	1	1	2	15615.3	0
10.201	1	1	2	5345.13	0
10.241	1	1	2	307.689	0
10.281	1	1	2	2346.82	0
