% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
27	1	1	1	0	0	81	0	1	0
42	1	1	1	0	28	2196	0	1	0
43	1	1	1	0	28	2196	0	1	0
58	1	1	1	0	28	2196	0	1	0
215	1	1	1	0	28	2196	0	1	0
455	1	1	1	0	28	2196	0	1	0
615	1	1	1	0	28	2196	0	1	0
695	1	1	1	0	28	2196	0	1	0
777	1	1	1	0	28	2196	0	1	0
787	1	1	1	0	28	2196	0	1	0
797	1	1	1	0	28	2196	0	1	0
807	1	1	1	0	28	2196	0	1	0
809	1	1	1	0	28	2196	0	1	0
817	1	1	1	0	28	2196	0	1	0
827	1	1	1	0	28	2196	0	1	0
837	1	1	1	0	28	2196	0	1	0
847	1	1	1	0	28	2196	0	1	0
857	1	1	1	0	28	2196	0	1	0
867	1	1	1	0	28	2196	0	1	0
877	1	1	1	0	28	2196	0	1	0
887	1	1	1	0	28	2196	0	1	0
897	1	1	1	0	28	2196	0	1	0
907	1	1	1	0	28	2196	0	1	0
917	1	1	1	0	28	2196	0	1	0
927	1	1	1	0	28	2196	0	1	0
929	1	1	1	0	28	2196	0	1	0
937	1	1	1	0	28	2196	0	1	0
947	1	1	1	0	28	2196	0	1	0
957	1	1	1	0	28	2196	0	1	0
967	1	1	1	0	28	2196	0	1	0
977	1	1	1	0	28	2196	0	1	0
987	1	1	1	0	28	2196	0	1	0
997	1	1	1	0	28	2196	0	1	0
1007	1	1	1	0	28	2196	0	1	0
1017	1	1	1	0	28	2196	0	1	0
1027	1	1	1	0	28	2196	0	1	0
1037	1	1	1	0	28	2196	0	1	0
1047	1	1	1	0	28	2196	0	1	0
1057	1	1	1	0	28	2196	0	1	0
1067	1	1	1	0	28	2196	0	1	0
1077	1	1	1	0	28	2196	0	1	0
1087	1	1	1	0	28	2196	0	1	0
1097	1	1	1	0	28	2196	0	1	0
1107	1	1	1	0	28	2196	0	1	0
1117	1	1	1	0	28	2196	0	1	0
1127	1	1	1	0	28	2196	0	1	0
1137	1	1	1	0	28	2196	0	1	0
1147	1	1	1	0	28	2196	0	1	0
1157	1	1	1	0	28	2196	0	1	0
1167	1	1	1	0	28	2196	0	1	0
1169	1	1	1	0	28	2196	0	1	0
1177	1	1	1	0	28	2196	0	1	0
1187	1	1	1	0	28	2196	0	1	0
1197	1	1	1	0	28	2196	0	1	0
1207	1	1	1	0	28	2196	0	1	0
1209	1	1	1	0	28	2196	0	1	0
1217	1	1	1	0	28	2196	0	1	0
1227	1	1	1	0	28	2196	0	1	0
1237	1	1	1	0	28	2196	0	1	0
