% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
39	1	1	1	0	0	85	0	1	0
55	1	1	1	0	28	2292	0	1	0
212	1	1	1	0	28	2292	0	1	0
452	1	1	1	0	28	2292	0	1	0
612	1	1	1	0	28	2292	0	1	0
692	1	1	1	0	28	2292	0	1	0
756	1	1	1	0	28	2292	0	1	0
766	1	1	1	0	28	2292	0	1	0
776	1	1	1	0	28	2292	0	1	0
786	1	1	1	0	28	2292	0	1	0
796	1	1	1	0	28	2292	0	1	0
806	1	1	1	0	28	2292	0	1	0
812	1	1	1	0	28	2292	0	1	0
816	1	1	1	0	28	2292	0	1	0
826	1	1	1	0	28	2292	0	1	0
836	1	1	1	0	28	2292	0	1	0
846	1	1	1	0	28	2292	0	1	0
856	1	1	1	0	28	2292	0	1	0
866	1	1	1	0	28	2292	0	1	0
876	1	1	1	0	28	2292	0	1	0
886	1	1	1	0	28	2292	0	1	0
896	1	1	1	0	28	2292	0	1	0
906	1	1	1	0	28	2292	0	1	0
916	1	1	1	0	28	2292	0	1	0
926	1	1	1	0	28	2292	0	1	0
932	1	1	1	0	28	2292	0	1	0
936	1	1	1	0	28	2292	0	1	0
946	1	1	1	0	28	2292	0	1	0
956	1	1	1	0	28	2292	0	1	0
966	1	1	1	0	28	2292	0	1	0
976	1	1	1	0	28	2292	0	1	0
986	1	1	1	0	28	2292	0	1	0
996	1	1	1	0	28	2292	0	1	0
1006	1	1	1	0	28	2292	0	1	0
1016	1	1	1	0	28	2292	0	1	0
1026	1	1	1	0	28	2292	0	1	0
1036	1	1	1	0	28	2292	0	1	0
1046	1	1	1	0	28	2292	0	1	0
1056	1	1	1	0	28	2292	0	1	0
1066	1	1	1	0	28	2292	0	1	0
1076	1	1	1	0	28	2292	0	1	0
1086	1	1	1	0	28	2292	0	1	0
1096	1	1	1	0	18	1143	0	1	0
1106	1	1	1	0	28	2292	0	1	0
1116	1	1	1	0	28	2292	0	1	0
1126	1	1	1	0	28	2292	0	1	0
1136	1	1	1	0	28	2292	0	1	0
1146	1	1	1	0	28	2292	0	1	0
1156	1	1	1	0	28	2292	0	1	0
1166	1	1	1	0	28	2292	0	1	0
1172	1	1	1	0	28	2292	0	1	0
1176	1	1	1	0	28	2292	0	1	0
1186	1	1	1	0	28	2292	0	1	0
1196	1	1	1	0	28	2292	0	1	0
1206	1	1	1	0	28	2292	0	1	0
1212	1	1	1	0	28	2292	0	1	0
1216	1	1	1	0	28	2292	0	1	0
1226	1	1	1	0	28	2292	0	1	0
1236	1	1	1	0	28	2292	0	1	0
1246	1	1	1	0	28	2292	0	1	0
1256	1	1	1	0	28	2292	0	1	0
1266	1	1	1	0	28	2292	0	1	0
1276	1	1	1	0	28	2292	0	1	0
1286	1	1	1	0	24	1692	0	1	0
1296	1	1	1	0	14	807	0	1	0
1297	1	1	1	0	14	807	0	1	0
1306	1	1	1	0	4	225	0	1	0
1307	1	1	1	0	4	225	0	1	0
1308	1	1	1	0	4	225	0	1	0
1309	1	1	1	0	4	225	0	1	0
1310	1	1	1	0	4	225	0	1	0
1311	1	1	1	0	4	225	0	1	0
1316	1	1	1	0	12	621	0	1	0
1317	1	1	1	0	10	549	0	1	0
1318	1	1	1	0	10	549	0	1	0
1326	1	1	1	0	6	325	0	1	0
1327	1	1	1	0	2	137	0	1	0
1328	1	1	1	0	2	137	0	1	0
1336	1	1	1	0	4	225	0	1	0
1337	1	1	1	0	4	225	0	1	0
1338	1	1	1	0	4	225	0	1	0
1339	1	1	1	0	4	225	0	1	0
1340	1	1	1	0	4	225	0	1	0
1341	1	1	1	0	4	225	0	1	0
1346	1	1	1	0	18	1143	0	1	0
1347	1	1	1	0	18	1143	0	1	0
1356	1	1	1	0	22	1431	0	1	0
1366	1	1	1	0	26	1908	0	1	0
1376	1	1	1	0	28	2292	0	1	0
1386	1	1	1	0	28	2292	0	1	0
1396	1	1	1	0	28	2292	0	1	0
1406	1	1	1	0	28	2292	0	1	0
1412	1	1	1	0	28	2292	0	1	0
1416	1	1	1	0	28	2292	0	1	0
1426	1	1	1	0	28	2292	0	1	0
1436	1	1	1	0	28	2292	0	1	0
1446	1	1	1	0	28	2292	0	1	0
1456	1	1	1	0	28	2292	0	1	0
1466	1	1	1	0	28	2292	0	1	0
1476	1	1	1	0	28	2292	0	1	0
1486	1	1	1	0	28	2292	0	1	0
1496	1	1	1	0	28	2292	0	1	0
1506	1	1	1	0	28	2292	0	1	0
1516	1	1	1	0	28	2292	0	1	0
1526	1	1	1	0	28	2292	0	1	0
1536	1	1	1	0	28	2292	0	1	0
1546	1	1	1	0	28	2292	0	1	0
1556	1	1	1	0	28	2292	0	1	0
1566	1	1	1	0	28	2292	0	1	0
1576	1	1	1	0	28	2292	0	1	0
1586	1	1	1	0	28	2292	0	1	0
1596	1	1	1	0	24	1692	0	1	0
1606	1	1	1	0	14	807	0	1	0
1607	1	1	1	0	24	1692	0	1	0
1616	1	1	1	0	28	2292	0	1	0
1626	1	1	1	0	28	2292	0	1	0
1636	1	1	1	0	28	2292	0	1	0
1646	1	1	1	0	28	2292	0	1	0
1652	1	1	1	0	28	2292	0	1	0
1656	1	1	1	0	28	2292	0	1	0
1666	1	1	1	0	28	2292	0	1	0
1676	1	1	1	0	28	2292	0	1	0
1686	1	1	1	0	28	2292	0	1	0
1696	1	1	1	0	28	2292	0	1	0
1706	1	1	1	0	28	2292	0	1	0
1716	1	1	1	0	28	2292	0	1	0
1726	1	1	1	0	28	2292	0	1	0
1736	1	1	1	0	28	2292	0	1	0
1746	1	1	1	0	28	2292	0	1	0
1756	1	1	1	0	28	2292	0	1	0
1766	1	1	1	0	28	2292	0	1	0
1776	1	1	1	0	28	2292	0	1	0
1786	1	1	1	0	28	2292	0	1	0
1796	1	1	1	0	28	2292	0	1	0
1806	1	1	1	0	28	2292	0	1	0
1812	1	1	1	0	28	2292	0	1	0
1816	1	1	1	0	28	2292	0	1	0
1826	1	1	1	0	24	1692	0	1	0
1836	1	1	1	0	18	1143	0	1	0
1846	1	1	1	0	16	967	0	1	0
1847	1	1	1	0	18	1143	0	1	0
1856	1	1	1	0	20	1335	0	1	0
1866	1	1	1	0	24	1692	0	1	0
1876	1	1	1	0	12	621	0	1	0
1877	1	1	1	0	12	621	0	1	0
1886	1	1	1	0	8	437	0	1	0
1887	1	1	1	0	8	437	0	1	0
1888	1	1	1	0	8	437	0	1	0
1892	1	1	1	0	8	437	0	1	0
1893	1	1	1	0	8	437	0	1	0
1894	1	1	1	0	4	225	0	1	0
1895	1	1	1	0	2	137	0	1	0
1896	1	1	1	0	2	137	0	1	0
1897	1	1	1	0	2	137	0	1	0
1898	1	1	1	0	2	137	0	1	0
1899	1	1	1	0	0	85	0	1	0
1901	1	1	1	0	2	137	0	1	0
1902	1	1	1	0	2	137	0	1	0
1903	1	1	1	0	2	137	0	1	0
1904	1	1	1	0	2	137	0	1	0
1905	1	1	1	0	14	807	0	1	0
1906	1	1	1	0	16	967	0	1	0
1907	1	1	1	0	16	967	0	1	0
1916	1	1	1	0	22	1431	0	1	0
1926	1	1	1	0	28	2292	0	1	0
1936	1	1	1	0	28	2292	0	1	0
1946	1	1	1	0	28	2292	0	1	0
1956	1	1	1	0	28	2292	0	1	0
1966	1	1	1	0	28	2292	0	1	0
1976	1	1	1	0	28	2292	0	1	0
1986	1	1	1	0	28	2292	0	1	0
1996	1	1	1	0	28	2292	0	1	0
2006	1	1	1	0	28	2292	0	1	0
2016	1	1	1	0	28	2292	0	1	0
2026	1	1	1	0	24	1692	0	1	0
2036	1	1	1	0	22	1431	0	1	0
2046	1	1	1	0	20	1335	0	1	0
2056	1	1	1	0	18	1143	0	1	0
2066	1	1	1	0	14	807	0	1	0
2067	1	1	1	0	14	807	0	1	0
2076	1	1	1	0	6	325	0	1	0
2077	1	1	1	0	6	325	0	1	0
2078	1	1	1	0	6	325	0	1	0
2079	1	1	1	0	6	325	0	1	0
2086	1	1	1	0	22	1431	0	1	0
2096	1	1	1	0	26	1908	0	1	0
2106	1	1	1	0	28	2292	0	1	0
2116	1	1	1	0	28	2292	0	1	0
2126	1	1	1	0	28	2292	0	1	0
2132	1	1	1	0	28	2292	0	1	0
2136	1	1	1	0	28	2292	0	1	0
2146	1	1	1	0	28	2292	0	1	0
2156	1	1	1	0	28	2292	0	1	0
2166	1	1	1	0	28	2292	0	1	0
2176	1	1	1	0	28	2292	0	1	0
2186	1	1	1	0	28	2292	0	1	0
2196	1	1	1	0	28	2292	0	1	0
2206	1	1	1	0	28	2292	0	1	0
2216	1	1	1	0	28	2292	0	1	0
2226	1	1	1	0	28	2292	0	1	0
2236	1	1	1	0	28	2292	0	1	0
2246	1	1	1	0	28	2292	0	1	0
2256	1	1	1	0	28	2292	0	1	0
2266	1	1	1	0	28	2292	0	1	0
2276	1	1	1	0	28	2292	0	1	0
2286	1	1	1	0	28	2292	0	1	0
2296	1	1	1	0	28	2292	0	1	0
2306	1	1	1	0	28	2292	0	1	0
2316	1	1	1	0	28	2292	0	1	0
2326	1	1	1	0	28	2292	0	1	0
2336	1	1	1	0	28	2292	0	1	0
2346	1	1	1	0	28	2292	0	1	0
2356	1	1	1	0	28	2292	0	1	0
2366	1	1	1	0	28	2292	0	1	0
2372	1	1	1	0	28	2292	0	1	0
2376	1	1	1	0	28	2292	0	1	0
2386	1	1	1	0	28	2292	0	1	0
2396	1	1	1	0	26	1908	0	1	0
2406	1	1	1	0	24	1692	0	1	0
2416	1	1	1	0	22	1431	0	1	0
2426	1	1	1	0	18	1143	0	1	0
2436	1	1	1	0	14	807	0	1	0
2437	1	1	1	0	14	807	0	1	0
2446	1	1	1	0	20	1335	0	1	0
2456	1	1	1	0	24	1692	0	1	0
2466	1	1	1	0	28	2292	0	1	0
2476	1	1	1	0	28	2292	0	1	0
2486	1	1	1	0	28	2292	0	1	0
2496	1	1	1	0	28	2292	0	1	0
2506	1	1	1	0	28	2292	0	1	0
2516	1	1	1	0	28	2292	0	1	0
2526	1	1	1	0	28	2292	0	1	0
2536	1	1	1	0	28	2292	0	1	0
2546	1	1	1	0	26	1908	0	1	0
2556	1	1	1	0	28	2292	0	1	0
2566	1	1	1	0	28	2292	0	1	0
2576	1	1	1	0	28	2292	0	1	0
2586	1	1	1	0	28	2292	0	1	0
2596	1	1	1	0	28	2292	0	1	0
2606	1	1	1	0	28	2292	0	1	0
2612	1	1	1	0	28	2292	0	1	0
2616	1	1	1	0	28	2292	0	1	0
2626	1	1	1	0	28	2292	0	1	0
2636	1	1	1	0	28	2292	0	1	0
2646	1	1	1	0	28	2292	0	1	0
2656	1	1	1	0	28	2292	0	1	0
2666	1	1	1	0	28	2292	0	1	0
2676	1	1	1	0	28	2292	0	1	0
2686	1	1	1	0	28	2292	0	1	0
2696	1	1	1	0	28	2292	0	1	0
2706	1	1	1	0	28	2292	0	1	0
2716	1	1	1	0	28	2292	0	1	0
2726	1	1	1	0	28	2292	0	1	0
2736	1	1	1	0	28	2292	0	1	0
2746	1	1	1	0	28	2292	0	1	0
2756	1	1	1	0	28	2292	0	1	0
2766	1	1	1	0	28	2292	0	1	0
2776	1	1	1	0	28	2292	0	1	0
2786	1	1	1	0	28	2292	0	1	0
2796	1	1	1	0	28	2292	0	1	0
2806	1	1	1	0	28	2292	0	1	0
2816	1	1	1	0	28	2292	0	1	0
2826	1	1	1	0	28	2292	0	1	0
2836	1	1	1	0	28	2292	0	1	0
2846	1	1	1	0	28	2292	0	1	0
2852	1	1	1	0	28	2292	0	1	0
2856	1	1	1	0	28	2292	0	1	0
2866	1	1	1	0	28	2292	0	1	0
2876	1	1	1	0	24	1692	0	1	0
2886	1	1	1	0	24	1692	0	1	0
2896	1	1	1	0	24	1692	0	1	0
2906	1	1	1	0	26	1908	0	1	0
2916	1	1	1	0	24	1692	0	1	0
2926	1	1	1	0	24	1692	0	1	0
2936	1	1	1	0	24	1692	0	1	0
2946	1	1	1	0	24	1692	0	1	0
2956	1	1	1	0	26	1908	0	1	0
2966	1	1	1	0	26	1908	0	1	0
2976	1	1	1	0	28	2292	0	1	0
2986	1	1	1	0	28	2292	0	1	0
2996	1	1	1	0	28	2292	0	1	0
3006	1	1	1	0	28	2292	0	1	0
3016	1	1	1	0	28	2292	0	1	0
3026	1	1	1	0	28	2292	0	1	0
3036	1	1	1	0	28	2292	0	1	0
