========================
1 (x,y)= 10 , 100 d= 100.499 v= 10
4 (x,y)= 40 , 100 d= 107.703 v= 10
7 (x,y)= 70 , 100 d= 122.066 v= 10
10 (x,y)= 100 , 100 d= 141.421 v= 10
13 (x,y)= 130 , 100 d= 164.012 v= 10
16 (x,y)= 160 , 100 d= 188.68 v= 10
19 (x,y)= 190 , 100 d= 214.709 v= 10
22 (x,y)= 220 , 100 d= 241.661 v= 10
25 (x,y)= 250 , 100 d= 269.258 v= 10
28 (x,y)= 280 , 100 d= 297.321 v= 10
31 (x,y)= 310 , 100 d= 325.73 v= 10
34 (x,y)= 340 , 100 d= 354.401 v= 10
37 (x,y)= 370 , 100 d= 383.275 v= 10
40 (x,y)= 400 , 100 d= 412.311 v= 10
43 (x,y)= 430 , 100 d= 441.475 v= 10
46 (x,y)= 460 , 100 d= 470.744 v= 10
49 (x,y)= 490 , 100 d= 500.1 v= 10
52 (x,y)= 520 , 100 d= 529.528 v= 10
55 (x,y)= 550 , 100 d= 559.017 v= 10
58 (x,y)= 580 , 100 d= 588.558 v= 10
61 (x,y)= 610 , 100 d= 618.142 v= 10
64 (x,y)= 640 , 100 d= 647.765 v= 10
67 (x,y)= 670 , 100 d= 677.422 v= 10
70 (x,y)= 700 , 100 d= 707.107 v= 10
73 (x,y)= 730 , 100 d= 736.817 v= 10
76 (x,y)= 760 , 100 d= 766.551 v= 10
79 (x,y)= 790 , 100 d= 796.304 v= 10
82 (x,y)= 820 , 100 d= 826.075 v= 10
85 (x,y)= 850 , 100 d= 855.862 v= 10
88 (x,y)= 880 , 100 d= 885.664 v= 10
91 (x,y)= 910 , 100 d= 915.478 v= 10
94 (x,y)= 940 , 100 d= 945.304 v= 10
97 (x,y)= 970 , 100 d= 975.141 v= 10
100 (x,y)= 1000 , 100 d= 1004.99 v= 10
103 (x,y)= 1030 , 100 d= 1034.84 v= 10
106 (x,y)= 1060 , 100 d= 1064.71 v= 10
109 (x,y)= 1090 , 100 d= 1094.58 v= 10
112 (x,y)= 1120 , 100 d= 1124.46 v= 10
115 (x,y)= 1150 , 100 d= 1154.34 v= 10
118 (x,y)= 1180 , 100 d= 1184.23 v= 10
121 (x,y)= 1210 , 100 d= 1214.13 v= 10
124 (x,y)= 1240 , 100 d= 1244.03 v= 10
127 (x,y)= 1270 , 100 d= 1273.93 v= 10
130 (x,y)= 1300 , 100 d= 1303.84 v= 10
133 (x,y)= 1330 , 100 d= 1333.75 v= 10
136 (x,y)= 1360 , 100 d= 1363.67 v= 10
139 (x,y)= 1390 , 100 d= 1393.59 v= 10
142 (x,y)= 1420 , 100 d= 1423.52 v= 10
145 (x,y)= 1450 , 100 d= 1453.44 v= 10
148 (x,y)= 1480 , 100 d= 1483.37 v= 10
151 (x,y)= 1510 , 100 d= 1513.31 v= 10
154 (x,y)= 1540 , 100 d= 1543.24 v= 10
157 (x,y)= 1570 , 100 d= 1573.18 v= 10
